"date_id","origin_id","type_id","tag_id","count"
0,0,0,0,1
1064,715,16,924,1
1065,716,0,364,1
1066,378,0,580,1
1067,276,19,196,1
1067,276,11,196,1
1067,276,9,196,1
1068,714,9,925,1
1068,714,2,925,1
1068,714,12,925,1
1063,714,16,272,1
1069,648,0,926,1
1070,718,0,4,1
1070,10,0,209,1
1071,120,0,928,1
1071,276,11,734,1
1071,276,9,734,1
1072,719,23,272,1
1072,719,4,272,1
1073,720,0,209,1
1074,138,0,23,1
1069,717,0,927,1
1063,714,9,272,1
1063,93,8,923,1
1063,138,0,399,1
1050,496,0,133,1
1050,210,0,918,1
1050,2,0,16,1
1051,138,0,23,1
1052,0,0,919,1
1052,10,0,920,1
1053,210,0,921,1
1053,2,0,16,1
1054,10,0,603,1
1055,276,0,363,1
1056,711,0,922,1
1056,2,0,4,1
1057,93,0,35,1
1058,712,0,8,1
1058,713,8,792,1
1059,10,0,236,1
1060,71,0,23,1
1061,678,0,534,1
1062,276,24,12,1
1062,276,13,12,1
1062,276,8,12,1
1075,276,0,929,1
1076,0,0,33,1
1077,2,0,4,1
1078,328,0,8,1
1091,276,0,935,1
1091,10,0,490,1
1092,120,0,16,1
1093,10,0,209,1
1094,728,25,399,1
1094,729,0,936,1
1094,2,12,937,1
1095,10,0,603,1
1096,9,10,242,1
1097,453,0,8,1
1098,210,0,49,1
1099,268,0,844,1
1099,210,0,123,1
1100,276,20,938,1
1100,276,16,938,1
1101,730,0,43,1
1102,2,0,16,1
1103,731,0,8,1
1103,10,22,118,1
1104,0,0,35,1
1105,732,0,939,1
1091,727,8,218,1
1049,710,22,48,1
1090,210,0,8,1
1088,18,14,934,1
1079,0,0,8,1
1079,295,0,930,1
1079,10,16,123,1
1080,276,0,363,1
1081,721,0,931,1
1082,655,0,7,1
1082,68,8,218,1
1083,722,15,612,1
1084,544,0,209,1
1084,723,11,272,1
1084,723,9,272,1
1084,724,0,932,1
1085,210,0,933,1
1085,210,0,534,1
1086,725,0,933,1
1086,726,13,171,1
1086,210,24,726,1
1086,210,7,726,1
1086,276,0,8,1
1087,2,32,933,1
1087,2,9,933,1
1089,726,13,171,1
1049,710,6,48,1
1048,276,0,7,1
1047,10,0,12,1
1002,10,8,43,1
1002,2,0,133,1
1003,210,0,8,1
1004,690,9,551,1
1004,690,3,551,1
1004,2,0,16,1
1005,691,24,84,1
1006,31,0,16,1
1007,10,0,844,1
1008,692,6,908,1
1009,0,0,35,1
1009,10,15,626,1
1010,693,14,488,1
1011,295,0,39,1
1012,2,9,909,1
1013,694,0,910,1
1014,695,0,48,1
1014,496,0,454,1
1014,696,0,911,1
1014,276,0,912,1
1015,276,0,603,1
1002,10,16,43,1
1016,0,6,35,1
1002,276,0,19,1
1001,295,11,860,1
991,683,4,545,1
992,0,13,903,1
992,0,16,903,1
993,527,0,904,1
993,684,0,905,1
993,685,0,16,1
994,276,0,260,1
995,295,0,8,1
996,295,11,133,1
996,295,9,133,1
997,276,0,4,1
997,686,0,35,1
998,687,9,16,1
998,687,18,16,1
998,210,0,906,1
999,295,9,149,1
999,295,2,149,1
1000,688,6,490,1
1001,689,7,907,1
1001,689,20,907,1
1001,689,18,907,1
1001,295,9,860,1
1106,31,0,23,1
1017,10,0,913,1
1018,18,15,914,1
1035,398,0,93,1
1035,295,0,363,1
1036,704,0,454,1
1036,2,0,844,1
1037,10,0,33,1
