"type_id","meme_type"
0,"No type"
1,"snowclone"
2,"pop-culture-reference"
3,"song"
4,"viral-video"
5,"dance"
6,"catchphrase"
7,"image-macro"
8,"slang"
9,"participatory-media"
10,"visual-effect"
11,"parody"
12,"remix"
13,"character"
14,"hoax"
15,"advertisement"
16,"reaction"
17,"copypasta"
18,"social-game"
19,"optical-illusion"
20,"photoshop"
21,"axiom"
22,"emoticon"
23,"shock-media"
24,"animal"
25,"creepypasta"
26,"sound-effect"
27,"lip-dub"
28,"fan-labor"
29,"fan-art"
30,"conspiracy-theory"
31,"viral-debate"
32,"hashtag"
33,"cliche"
